sc_id,sc_set_id,sc_key,sc_type,sc_content,sc_updated,sc_default,sc_tab_key,sc_show_in_vse,sc_title,sc_order,sc_condition
1043,7,headline_font,Select,"[{""key"":""default"",""value"":""Default""},{""key"":""Lato"",""value"":""Lato""},{""key"":""Open Sans"",""value"":""Open Sans""},{""key"":""Roboto"",""value"":""Roboto""},{""key"":""Roboto Slab"",""value"":""Roboto Slab""},{""key"":""Montserrat"",""value"":""Montserrat""},{""key"":""Merriweather"",""value"":""Merriweather""}]",0,Roboto,textcolors,TRUE,themesetting_headline_font,2,
1044,7,important_button,Color,[],0,#478f79,buttoncolors,FALSE,themesetting_important_button,7,
1045,7,important_button_font,Color,[],0,#ffffff,buttoncolors,FALSE,themesetting_important_button_font,8,
1046,7,ipsfocus_text,Text,[],0,,z80_other,FALSE,f_ipsfocus_text,3,
1047,7,item_status,Color,"[{""key"":"""",""value"":""""}]",0,#353c41,frontendcolors,FALSE,themesetting_item_status_active,26,
1048,7,js_include,Radio,"[{""key"":""head"",""value"":""Inside the &lt;head&gt;""},{""key"":""footer"",""value"":""Just before &lt;\/body&gt; tag""}]",0,footer,custom,FALSE,themesetting_js_location,10,
1049,7,light_button,Color,[],0,#e5e5e5,buttoncolors,FALSE,themesetting_light_button,9,
1050,7,light_button_font,Color,[],0,#333333,buttoncolors,FALSE,themesetting_light_button_font,10,
1051,7,link,Color,[],0,#3d6594,textcolors,FALSE,themesetting_link,6,
1052,7,link_button,Color,[],0,#8d9aa6,buttoncolors,FALSE,themesetting_link_button,15,
1053,7,link_hover,Color,[],0,#4588c5,textcolors,FALSE,themesetting_link_hover,7,
1054,7,logo_color,Color,[],0,ffffff,z10_header,FALSE,f_logo_color,1,
1055,7,logoheight,Number,[],0,90,z10_header,FALSE,f_logoheight,4,
1056,7,logoheightr,Number,[],0,60,z10_header,FALSE,f_logoheightr,6,
1057,7,logosize,Number,[],0,30,z10_header,FALSE,f_logo_size,5,
1058,7,logosizer,Number,[],0,24,z10_header,FALSE,f_logo_sizer,7,
1059,7,main_nav,Color,[],0,#375476,frontendcolors,FALSE,themesetting_main_nav,3,
1060,7,main_nav_font,Color,[],0,#ffffff,frontendcolors,FALSE,themesetting_main_nav_font,4,
1061,7,main_nav_tab,Color,"[{""key"":"""",""value"":""""}]",0,#ffffff,frontendcolors,FALSE,themesetting_main_nav_active,5,
1062,7,main_nav_tab_font,Color,[],0,#353c41,frontendcolors,FALSE,themesetting_main_nav_active_font,6,
1063,7,mentions,Color,"[{""key"":"""",""value"":""""}]",0,#3d6594,frontendcolors,FALSE,themesetting_mentions,28,
1064,7,mobile_back,Color,[],0,#e8e9eb,frontendcolors,FALSE,themesetting_mobile_back,32,
1065,7,mobile_back_font,Color,[],0,#353c41,frontendcolors,FALSE,themesetting_mobile_back_font,33,
1066,7,moderated,Color,"[{""key"":"""",""value"":""""}]",0,#f7edf1,frontendcolors,FALSE,themesetting_moderated,17,
