perm_id,app,perm_type,perm_type_id,perm_view,perm_2,perm_3,perm_4,perm_6,owner_only
246,calendar,calendar,4,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
247,calendar,calendar,5,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
248,calendar,calendar,6,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
249,calendar,calendar,7,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
250,calendar,calendar,8,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
251,calendar,calendar,9,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
252,calendar,calendar,10,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
253,calendar,calendar,11,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
254,calendar,calendar,12,"6,10,13,4,2,20,18,19,17","6,10,13,4,2,20,18,19,17","6,10,13,4,20,18,19","6,10,13,4,20,18,19",,FALSE
255,forums,forum,177,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
256,forums,forum,178,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
257,forums,forum,179,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
258,forums,forum,180,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
259,forums,forum,181,"6,10,13,4","6,10,13,4","6,10,13,4","6,10,13,4",,FALSE
260,forums,forum,182,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,19,18,20","6,10,13,4,19,18,20",,FALSE
261,forums,forum,183,"6,10,13,3,4,2,17,19,18,20",,,,,FALSE
121,forums,forum,11,"6,10,13,3,17,4,2,19,18,20","6,10,13,3,17,4,2,19,18,20","3,4","6,10,13,17,4,19,18,20",,FALSE
264,core,module,38,*,,,,,FALSE
265,core,module,39,*,,,,,FALSE
266,core,module,40,*,,,,,FALSE
267,core,module,41,*,,,,,FALSE
263,forums,forum,185,"6,10,18,19,13,4,20","6,10,18,19,13,4,20",4,"6,10,18,19,13,4,20",,FALSE
100,forums,forum,60,"6,10,18,19,13,7,17,4,2,20","6,10,18,19,13,7,17,4,2,20","6,10,4","6,10,18,19,13,7,4,20",,FALSE
262,forums,forum,184,"6,10,18,19,20,13,17,4","6,10,18,19,20,13,17,4","6,10,17,4","6,10,18,19,20,13,17,4",,FALSE
129,forums,forum,109,"6,10,13,17,4","6,10,13,17,4","6,10,13,4","6,10,13,4",,FALSE
