index_author_id,index_item_id,index_class
50,46,IPS\forums\Topic
54,46,IPS\forums\Topic
65,46,IPS\forums\Topic
67,46,IPS\forums\Topic
72,46,IPS\forums\Topic
85,46,IPS\forums\Topic
94,46,IPS\forums\Topic
101,46,IPS\forums\Topic
108,46,IPS\forums\Topic
111,46,IPS\forums\Topic
130,46,IPS\forums\Topic
133,46,IPS\forums\Topic
146,46,IPS\forums\Topic
158,46,IPS\forums\Topic
161,46,IPS\forums\Topic
164,46,IPS\forums\Topic
182,46,IPS\forums\Topic
188,46,IPS\forums\Topic
255,46,IPS\forums\Topic
279,46,IPS\forums\Topic
288,46,IPS\forums\Topic
304,46,IPS\forums\Topic
329,46,IPS\forums\Topic
878,46,IPS\forums\Topic
1066,46,IPS\forums\Topic
1104,46,IPS\forums\Topic
1772,46,IPS\forums\Topic
2075,46,IPS\forums\Topic
2099,46,IPS\forums\Topic
4873,46,IPS\forums\Topic
6278,46,IPS\forums\Topic
7719,46,IPS\forums\Topic
7816,46,IPS\forums\Topic
7958,46,IPS\forums\Topic
1,47,IPS\calendar\Event
143,47,IPS\core\Statuses\Status
0,47,IPS\forums\Topic
1,47,IPS\forums\Topic
5,47,IPS\forums\Topic
7,47,IPS\forums\Topic
9,47,IPS\forums\Topic
12,47,IPS\forums\Topic
13,47,IPS\forums\Topic
16,47,IPS\forums\Topic
23,47,IPS\forums\Topic
35,47,IPS\forums\Topic
49,47,IPS\forums\Topic
56,47,IPS\forums\Topic
68,47,IPS\forums\Topic
114,47,IPS\forums\Topic
125,47,IPS\forums\Topic
132,47,IPS\forums\Topic
161,47,IPS\forums\Topic
168,47,IPS\forums\Topic
1558,47,IPS\forums\Topic
1772,47,IPS\forums\Topic
2306,47,IPS\forums\Topic
6106,47,IPS\forums\Topic
6113,47,IPS\forums\Topic
6145,47,IPS\forums\Topic
6168,47,IPS\forums\Topic
7508,47,IPS\forums\Topic
7543,47,IPS\forums\Topic
7600,47,IPS\forums\Topic
7643,47,IPS\forums\Topic
7760,47,IPS\forums\Topic
